-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
  138.0  14414  -60.7  -89.7      1   0.00    240   25.0  374.1  374.1  374.1
  129.0  14834  -59.9  -90.9      1   0.00    240   36.4  382.8  382.8  382.8
  126.9  14935  -60.8  -91.4      1   0.00    240   39.1  383.0  383.0  383.0
  120.8  15240  -63.4  -93.0      1   0.00    240   40.7  383.6  383.6  383.6
  118.0  15384  -64.7  -93.7      1   0.00    244   42.6  383.9  383.9  383.9
  117.0  15436  -64.1  -93.1      1   0.00    245   43.2  385.9  385.9  385.9
  115.0  15542  -62.9  -91.9      1   0.00    245   43.2  390.0  390.0  390.0
  114.9  15545  -62.7  -91.9      1   0.00    245   43.2  390.4  390.4  390.4
  114.0  15596  -60.3  -91.3      1   0.00    246   42.0  395.8  395.9  395.8
  110.0  15819  -59.1  -90.1      1   0.00    253   36.4  402.2  402.2  402.2
  103.0  16228  -62.1  -92.1      1   0.00    265   26.2  404.0  404.1  404.0
  100.0  16410  -62.9  -92.9      1   0.00    270   21.6  405.9  405.9  405.9
   83.8  17478  -70.7  -94.7      2   0.00    255   25.7  411.1  411.1  411.1
   81.5  17644  -68.7  -92.7      2   0.00    255   26.2  418.5  418.5  418.5
   81.0  17678  -68.6  -92.6      2   0.00    255   26.2  419.3  419.3  419.3
   77.0  17983  -68.1  -92.1      2   0.00    280   18.5  426.6  426.6  426.6
   75.9  18071  -67.9  -91.9      2   0.00    280   15.5  428.8  428.8  428.8
   73.7  18249  -65.9  -90.9      2   0.00    280    9.6  436.6  436.6  436.6
   73.2  18288  -66.2  -91.2      2   0.00    280    8.2  436.8  436.8  436.8
   70.0  18560  -68.1  -93.1      2   0.00    250    6.2  438.4  438.4  438.4
   66.2  18898  -68.9  -92.9      2   0.00    240    8.8  443.8  443.8  443.8
   66.1  18904  -68.9  -92.9      2   0.00    240    8.8  443.9  443.9  443.9
   64.7  19033  -68.1  -92.1      2   0.00    231    9.0  448.3  448.3  448.3
   63.4  19156  -65.1  -91.1      2   0.00    223    9.2  457.5  457.5  457.5
   62.9  19202  -65.4  -91.4      2   0.00    220    9.3  457.8  457.8  457.8
   59.8  19507  -67.7  -93.7      1   0.00    225   11.8  459.5  459.5  459.5
   59.5  19541  -67.9  -93.9      1   0.00    227   11.0  459.6  459.7  459.6
   57.3  19770  -63.3  -91.3      1   0.00    238    5.2  475.0  475.0  475.0
   56.9  19812  -63.3  -91.5      1   0.00    240    4.1  475.9  475.9  475.9
   52.0  20367  -63.5  -93.5      1   0.00    306    1.6  487.9  487.9  487.9
   50.2  20585  -60.9  -91.9      1   0.00    332    0.6  499.0  499.0  499.0
   50.0  20610  -60.9  -91.9      1   0.00    335    0.5  499.5  499.6  499.5
   48.3  20824  -62.3  -92.3      1   0.00    348    0.3  501.2  501.2  501.2
   46.9  21006  -60.7  -91.7      1   0.00    359    0.0  509.2  509.3  509.2
   46.7  21031  -60.7  -91.7      1   0.00      0    0.0  509.8  509.9  509.8
   44.5  21336  -60.5  -91.5      1   0.00    135    5.7  517.5  517.5  517.5
   42.4  21641  -60.3  -91.3      1   0.00    160    6.2  525.3  525.3  525.3
   40.3  21946  -60.1  -91.1      1   0.00    150    6.7  533.1  533.2  533.1
   40.2  21967  -60.1  -91.1      1   0.00    150    6.8  533.7  533.7  533.7
   38.8  22189  -57.7  -89.7      1   0.00    146    7.9  545.2  545.2  545.2
   38.4  22250  -57.8  -89.7      1   0.00    145    8.2  546.4  546.4  546.4
   36.6  22555  -58.4  -89.9      1   0.00    200    6.2  552.5  552.5  552.5
   34.6  22909  -59.1  -90.1      1   0.00    262    3.8  559.7  559.7  559.7
   31.7  23461  -56.3  -88.3      1   0.01    358    0.1  581.3  581.4  581.3
   31.7  23470  -56.3  -88.3      1   0.01      0    0.0  581.5  581.5  581.5
   30.0  23810  -57.7  -89.7      1   0.00    110    4.1  586.8  586.8  586.8
   29.7  23874  -57.9  -89.9      1   0.00    114    4.3  587.9  587.9  587.9
   27.4  24384  -58.2  -89.7      1   0.00    145    6.2  600.8  600.9  600.8
   25.1  24935  -58.5  -89.5      1   0.01    134    4.9  615.1  615.2  615.1
   23.0  25488  -56.1  -88.1      1   0.01    123    3.6  637.7  637.8  637.7
   21.1  26037  -56.3  -88.3      1   0.01    112    2.3  653.0  653.1  653.0
   20.2  26316  -53.7  -86.7      1   0.01    106    1.7  669.1  669.3  669.2
   20.0  26380  -53.7  -86.7      1   0.01    105    1.5  671.1  671.2  671.1
   17.0  27432  -55.2  -87.7      1   0.01    135    5.7  698.8  699.0  698.9
   16.2  27737  -55.6  -88.0      1   0.01    130    6.7  707.1  707.2  707.1
   15.4  28042  -56.0  -88.3      1   0.01    140    8.8  715.5  715.6  715.5
   13.9  28695  -56.9  -88.9      1   0.01    178    7.6  733.7  733.8  733.7
   12.8  29219  -54.3  -87.3      1   0.02    208    6.8  760.2  760.4  760.2
   12.7  29261  -53.7  -86.8      1   0.02    210    6.7  763.7  763.9  763.7
   12.2  29529  -49.9  -83.9      1   0.03    277    3.7  786.2  786.6  786.2
   11.6  29870  -49.3  -83.3      1   0.03      0    0.0  800.0  800.4  800.0
   10.7  30387  -48.5  -82.5      1   0.04    258    5.2  821.4  821.9  821.4
   10.5  30480  -48.8  -82.8      1   0.04    240    6.2  823.6  824.1  823.6
   10.0  30830  -49.9  -83.9      1   0.04    245    3.6  832.2  832.6  832.2
    9.8  30962  -49.9  -83.9      1   0.04    247    4.3  837.0  837.5  837.0
    8.7  31750  -45.9  -80.9      1   0.07    261    8.4  881.5  882.3  881.5
    8.3  32066  -41.9  -77.9      1   0.11    266   10.1  909.1  910.6  909.2
    7.0  33230  -38.9  -75.9      1   0.18    285   16.0  966.9  969.4  967.0
    6.7  33528  -37.8  -75.1      1   0.21    285   12.9  983.6  986.6  983.7
    6.1  34138  -35.5  -73.4      1   0.30      0    0.0 1018.6 1023.0 1018.8
    6.1  34181  -35.3  -73.3      1   0.31               1021.1 1025.6 1021.3
