PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
10.5,30480,-48.6,-82.7,1,0.04,215,14,824.9,825.4,824.9
10,30810,-48.5,-82.5,1,0.04,235,5,837.4,838,837.4
10,30785,-48.5,-82.5,1,0.04,235,3,836.5,837,836.5
9.6,31079,-48.5,-82.5,1,0.05,232,8,847.2,847.8,847.2
9.1,31433,-46.3,-81.3,1,0.06,228,11,868.7,869.5,868.7
8.1,32208,-45.7,-80.7,1,0.07,220,18,900.5,901.5,900.5
7.4,32819,-39.7,-76.7,1,0.15,214,24,948.4,950.5,948.5
7,33200,-38.5,-75.5,1,0.19,210,27,968.5,971.2,968.6
6.7,33528,-36.5,-74.5,1,0.23,220,32,990.1,993.5,990.3
6.4,33821,-34.7,-73.7,1,0.28,,,1009.7,1013.8,1009.9
